epoch,train_loss,val_loss
1,2.5173,2.5699
2,2.3870,2.4410
3,2.2554,2.3089
4,2.1233,2.1746
5,1.9950,2.0436
6,1.8768,1.9233
7,1.7730,1.8190
8,1.6843,1.7318
9,1.6072,1.6573
10,1.5352,1.5878
11,1.4619,1.5158
12,1.3840,1.4374
13,1.3024,1.3537
14,1.2219,1.2705
15,1.1488,1.1953
16,1.0876,1.1337
17,1.0391,1.0867
18,0.9997,1.0498
19,0.9629,1.0156
20,0.9228,0.9768
21,0.8761,0.9294
22,0.8239,0.8751
23,0.7713,0.8198
24,0.7246,0.7710
25,0.6883,0.7344
26,0.6632,0.7108
27,0.6458,0.6960
28,0.6296,0.6823
29,0.6087,0.6626
30,0.5800,0.6333
31,0.5449,0.5961
32,0.5086,0.5570
33,0.4773,0.5237
34,0.4556,0.5017
35,0.4443,0.4919
36,0.4397,0.4899
37,0.4354,0.4882
38,0.4256,0.4796
39,0.4074,0.4607
40,0.3822,0.4333
41,0.3553,0.4037
42,0.3331,0.3795
43,0.3201,0.3662
44,0.3168,0.3645
45,0.3197,0.3700
46,0.3224,0.3752
47,0.3189,0.3729
48,0.3067,0.3600
49,0.2873,0.3383
50,0.2659,0.3142
51,0.2490,0.2954
52,0.2411,0.2873
53,0.2427,0.2904
54,0.2499,0.3003
55,0.2566,0.3094
56,0.2568,0.3108
57,0.2479,0.3012
58,0.2318,0.2827
59,0.2137,0.2619
60,0.2000,0.2463
61,0.1952,0.2443
62,0.1996,0.2534
63,0.2094,0.2689
64,0.2183,0.2832
65,0.2206,0.2896
66,0.2136,0.2848
67,0.1993,0.2712
68,0.1831,0.2553
69,0.1713,0.2447
70,0.1684,0.2446
71,0.1746,0.2554
72,0.1859,0.2725
73,0.1961,0.2881
74,0.1995,0.2955
75,0.1935,0.2917
76,0.1803,0.2791
77,0.1652,0.2643
78,0.1546,0.2549
79,0.1529,0.2561
80,0.1601,0.2681
81,0.1724,0.2860
82,0.1833,0.3023
83,0.1872,0.3102
84,0.1817,0.3068
85,0.1690,0.2948
86,0.1546,0.2806
87,0.1448,0.2721
88,0.1439,0.2741
89,0.1518,0.2868
90,0.1646,0.3053
91,0.1759,0.3219
92,0.1800,0.3300
93,0.1748,0.3268
94,0.1623,0.3150
95,0.1483,0.3013
96,0.1391,0.2933
97,0.1387,0.2959
98,0.1471,0.3092
99,0.1603,0.3280
100,0.1717,0.3448
